"GENEID","DISORDER","mean_log2FC","min_p","combined_p","Direction"
"ENSG00000008952","MDD",0.0552178616666667,0.025776854,0.025776854,"UP"
"ENSG00000008988","MDD",0.106010983,0.01172935,0.01172935,"UP"
"ENSG00000009307","BD",-0.0591423,0.03243506,0.03243506,"DOWN"
"ENSG00000009413","MDD",-0.206900217,0.006049992,0.006049992,"DOWN"
"ENSG00000009780","BD",-0.22383,0.0493,0.0493,"DOWN"
"ENSG00000009790","BD",-0.52462885,1.82e-05,1.82e-05,"DOWN"
"ENSG00000009790","MDD",0.654593683333333,0.019859158,0.019859158,"UP"
"ENSG00000009790","OCD",1.034371142,0.000107448,0.000107448,"UP"
"ENSG00000009830","MDD",0.315067999,0.01198443,0.01198443,"UP"
"ENSG00000009950","BD",0.2045542,5.23e-05,5.23e-05,"UP"
"ENSG00000009950","MDD",0.343807153,0.017527951,0.017527951,"UP"
"ENSG00000009950","OCD",0.687923809,0.003786213,0.003786213,"UP"
"ENSG00000009950","SZ",-0.3543249,0.04854922,0.04854922,"DOWN"
"ENSG00000010030","MDD",-1.156020869,0.002145773,0.002145773,"DOWN"
"ENSG00000010165","OCD",-0.246,0.001332833,0.001332833,"DOWN"
"ENSG00000010219","MDD",0.226524895,0.007820489,0.007820489,"UP"
"ENSG00000010219","OCD",0.313,0.000669344,0.000669344,"UP"
"ENSG00000010244","MDD",-0.1781773295,0.022762342,0.022762342,"DOWN"
"ENSG00000010256","ASD",-0.1096375,0.00057275,0.00057275,"DOWN"
"ENSG00000010256","MDD",0.165765011333333,0.015689999,0.015689999,"UP"
"ENSG00000010278","MDD",0.674850162,0.049639784,0.049639784,"UP"
"ENSG00000010282","BD",-0.1878526,0.00962901,0.00962901,"DOWN"
"ENSG00000010282","MDD",0.531194946,0.007261865,0.007261865,"UP"
"ENSG00000010292","MDD",0.2653247175,0.042586475,0.042586475,"UP"
"ENSG00000010295","ASD",-0.31,0.00893,0.00893,"DOWN"
"ENSG00000010295","MDD",0.242736443,0.000799878,0.000799878,"UP"
"ENSG00000010310","BD",0.42762,0.0101,0.0101,"UP"
"ENSG00000010310","MDD",1.130155159,0.039939975,0.039939975,"UP"
"ENSG00000010318","BD",0.1382556,5.04e-06,5.04e-06,"UP"
"ENSG00000010318","MDD",0.1346883535,0.04077689,0.04077689,"UP"
"ENSG00000010319","BD",-0.25544845,4.82e-05,4.82e-05,"DOWN"
"ENSG00000010319","MDD",0.50495462325,0.01806958,0.01806958,"UP"
"ENSG00000010319","SZ",-0.203766203,0.014633465,0.014633465,"DOWN"
"ENSG00000010322","ASD",0.23,0.00783,0.00783,"UP"
"ENSG00000010322","BD",0.09086489,0.03700683,0.03700683,"UP"
"ENSG00000010322","MDD",0.156339048,0.004144483,0.004144483,"UP"
"ENSG00000010327","BD",0.42727,0.00765,0.00765,"UP"
"ENSG00000010327","OCD",0.861921779,8.02e-06,8.02e-06,"UP"
"ENSG00000010379","BD",-0.3533948,9.34e-06,9.34e-06,"DOWN"
"ENSG00000010404","MDD",-0.221145268,0.017554347,0.017554347,"DOWN"
"ENSG00000010438","MDD",-0.4899316,0.015992242,0.015992242,"DOWN"
"ENSG00000010610","BD",-0.2046888,0.0005682,0.0005682,"DOWN"
"ENSG00000010610","SZ",-0.176868498,0.029273843,0.029273843,"DOWN"
"ENSG00000010626","MDD",0.309519895,0.002268821,0.002268821,"UP"
"ENSG00000010671","OCD",1.086589247,0.008908428,0.008908428,"UP"
"ENSG00000010704","OCD",0.653227992,0.001700463,0.001700463,"UP"
"ENSG00000010810","ASD",0.1105615,0.00112698,0.00112698,"UP"
"ENSG00000010818","ASD",-0.1756973,7.17e-07,7.17e-07,"DOWN"
"ENSG00000010818","MDD",-0.1868236495,0.010810183,0.010810183,"DOWN"
"ENSG00000010818","OCD",-0.618,0.000372787,0.000372787,"DOWN"
"ENSG00000011009","MDD",-0.0957720545,0.032463135,0.032463135,"DOWN"
"ENSG00000011028","BD",-0.1588133,0.02658729,0.02658729,"DOWN"
"ENSG00000011028","SZ",-0.199732149,0.014175183,0.014175183,"DOWN"
"ENSG00000011083","ASD",-0.1765428,0.00249225,0.00249225,"DOWN"
"ENSG00000011105","MDD",0.273959986,0.032615568,0.032615568,"UP"
"ENSG00000011114","MDD",-0.122465052666667,0.024952729,0.024952729,"DOWN"
"ENSG00000011143","BD",0.06657716,0.04177445,0.04177445,"UP"
"ENSG00000011201","MDD",-0.313961922,0.019055678,0.019055678,"DOWN"
"ENSG00000011243","SZ",-0.417972,0.00464803,0.00464803,"DOWN"
"ENSG00000011258","MDD",-0.00125878266666667,0.01596999,0.01596999,"DOWN"
"ENSG00000011260","ADHD",-0.0549488,0.01589572,0.01589572,"DOWN"
"ENSG00000011304","ASD",0.16063768,0.00062751,0.00062751,"UP"
"ENSG00000011304","SZ",-0.3848851,0.00330582,0.00330582,"DOWN"
"ENSG00000011332","MDD",-0.101331512,0.002639982,0.002639982,"DOWN"
"ENSG00000011405","MDD",-0.3356561025,0.005565378,0.005565378,"DOWN"
"ENSG00000011422","ASD",0.5347566,0.00029418,0.00029418,"UP"
"ENSG00000011422","MDD",0.659638062,0.034292357,0.034292357,"UP"
"ENSG00000011451","BD",0.13441555,0.0102065,0.0102065,"UP"
"ENSG00000011451","MDD",0.299896541,0.002325038,0.002325038,"UP"
"ENSG00000011465","MDD",0.2764602565,0.02145244,0.02145244,"UP"
"ENSG00000011485","MDD",0.17079276,0.015985972,0.015985972,"UP"
"ENSG00000011566","ADHD",-0.0799255,0.00060851,0.00060851,"DOWN"
"ENSG00000011566","MDD",-0.1711839095,0.028183262,0.028183262,"DOWN"
"ENSG00000011600","BD",-0.1608501,0.02685361,0.02685361,"DOWN"
"ENSG00000011600","MDD",-0.1777804,0.04004715,0.04004715,"DOWN"
"ENSG00000011600","SZ",-0.229948039,0.007140506,0.007140506,"DOWN"
"ENSG00000011638","ASD",0.29568462,0.00010237,0.00010237,"UP"
"ENSG00000011638","MDD",-0.293600609,0.025846086,0.025846086,"DOWN"
"ENSG00000012061","MDD",0.192531583666667,0.000264684,0.000264684,"UP"
"ENSG00000012124","MDD",0.900206542,0.024980221,0.024980221,"UP"
"ENSG00000012171","MDD",0.672787287,0.024353331,0.024353331,"UP"
"ENSG00000012174","ASD",-0.1867552,1.43e-05,1.43e-05,"DOWN"
"ENSG00000012174","MDD",-0.1625286975,0.03692502,0.03692502,"DOWN"
"ENSG00000012211","MDD",0.651026657333333,0.004404793,0.004404793,"UP"
"ENSG00000012223","MDD",-0.860335682833333,0.01469386,0.01469386,"DOWN"
"ENSG00000012660","MDD",0.0536455776666667,0.010968341,0.010968341,"UP"
"ENSG00000012779","MDD",0.572288326,0.034966125,0.034966125,"UP"
"ENSG00000012817","BD",-0.256248,8.85e-06,8.85e-06,"DOWN"
"ENSG00000012963","MDD",-0.181914187,0.00131274,0.00131274,"DOWN"
"ENSG00000012983","MDD",0.111580243,0.016405087,0.016405087,"UP"
"ENSG00000013275","MDD",0.0557273785,0.015268686,0.015268686,"UP"
"ENSG00000013297","ASD",-0.356897171428571,0.00110432,0.00110432,"DOWN"
"ENSG00000013297","MDD",0.846162018666667,0.038730647,0.038730647,"UP"
"ENSG00000013306","ASD",0.10761567,0.002129,0.002129,"UP"
"ENSG00000013364","ASD",0.28,0.0054,0.0054,"UP"
"ENSG00000013364","BD",0.38743,0.00471,0.00471,"UP"
"ENSG00000013374","MDD",0.194797437,0.006697449,0.006697449,"UP"
