"GENEID","avg_effect","consistency","n_disorders"
"ENSG00000049239",0.09529539,0.0409245403522239,2
"ENSG00000049245",0.098417095,0.228044899710075,2
"ENSG00000049246",0.1038938845,0.28864280463767,2
"ENSG00000049247",0.357482398,0.906030765148301,2
"ENSG00000049283",0.4956277035,NA,1
"ENSG00000049323",0.27120123,NA,1
"ENSG00000049449",0.4196464435,NA,1
"ENSG00000049541",0.236510868,NA,1
"ENSG00000049759",-0.441,NA,1
"ENSG00000049769",0.179115156666667,NA,1
"ENSG00000049883",0.11587333475,0.0912111670627364,2
"ENSG00000050030",-0.991290899,NA,1
"ENSG00000050130",0.2041546256,NA,1
"ENSG00000050165",0.123500973,NA,1
"ENSG00000050327",0.6041248,NA,1
"ENSG00000050344",0.10999275,NA,1
"ENSG00000050393",0.169949083,NA,1
"ENSG00000050426",0.183121394,0.108722767261538,2
"ENSG00000050438",-0.2078613,NA,1
"ENSG00000050555",0.386161066,NA,1
"ENSG00000050628",-0.554740895,NA,1
"ENSG00000050748",-0.1323623,NA,1
"ENSG00000050767",0.0237669736666667,NA,1
"ENSG00000050820",0.204229627833333,0.105077238417448,2
"ENSG00000051108",0.0604016,0.255447133029752,2
"ENSG00000051128",-0.4996368635,0.0712242306819475,2
"ENSG00000051341",0.345837803,0.0202263609691318,2
"ENSG00000051382",-0.0375670333333333,0.452351585535304,3
"ENSG00000051523",0.936454959,NA,1
"ENSG00000051596",-0.474924578,NA,1
"ENSG00000051620",0.391444426666667,0.149374505244992,3
"ENSG00000051825",-0.0823797873333333,NA,1
"ENSG00000052126",-0.1593200055,0.344037943300444,3
"ENSG00000052344",0.06588334,NA,1
"ENSG00000052795",0.1413141005,0.021740051020589,2
"ENSG00000052802",0.338730754,NA,1
"ENSG00000052841",-0.152390116,NA,1
"ENSG00000053108",-0.24690363,0.0205168871038908,2
"ENSG00000053254",-0.151536047,NA,1
"ENSG00000053371",0.55,NA,1
"ENSG00000053372",-0.0592364483333333,NA,1
"ENSG00000053438",-0.10364092975,0.44397689090635,2
"ENSG00000053501",0.204426745,NA,1
"ENSG00000053524",-0.19328915,0.419612508173249,2
"ENSG00000053702",0.311407498,0.340173569819777,2
"ENSG00000053747",0.29145248,NA,1
"ENSG00000053770",0.122952071,NA,1
"ENSG00000053918",0.192305658125,0.593744069913309,2
"ENSG00000054116",0.154486348,NA,1
"ENSG00000054118",-0.123948988,0.0268290624623427,2
"ENSG00000054148",0.209142145333333,NA,1
"ENSG00000054179",-0.709168109,NA,1
"ENSG00000054219",1.047663305,NA,1
"ENSG00000054267",-0.139922916,NA,1
"ENSG00000054277",-0.2305827535,0.0600733222056224,2
"ENSG00000054282",-0.096192,0.0615400688520902,2
"ENSG00000054356",-0.64975,NA,1
"ENSG00000054392",0.2563624955,0.193817757298305,2
"ENSG00000054598",-0.28879275,0.143517998554206,2
"ENSG00000054611",-0.1072659195,0.0727125249933583,2
"ENSG00000054654",0.0629249645,0.262136737239264,2
"ENSG00000054690",0.1485079855,0.73241778933438,2
"ENSG00000054793",-0.344,NA,1
"ENSG00000054803",0.702179043,NA,1
"ENSG00000054965",-0.00608236,0.0863392087649823,2
"ENSG00000054967",-0.0826474,NA,1
"ENSG00000055044",-0.148744287,NA,1
"ENSG00000055070",-0.15741850175,0.157798658871245,2
"ENSG00000055118",-0.554511421,NA,1
"ENSG00000055130",0.099653246,0.0278112535804007,2
"ENSG00000055163",0.18,NA,1
"ENSG00000055332",0.11438287,NA,1
"ENSG00000055483",-0.316914095,NA,1
"ENSG00000055609",-0.0888286691666667,0.0641286017517397,2
"ENSG00000055732",1.13839944,0.636949852530376,2
"ENSG00000055813",0.403084348,NA,1
"ENSG00000055917",-0.0513660366666667,NA,1
"ENSG00000055950",0.197685204,NA,1
"ENSG00000055955",-0.922764777,NA,1
"ENSG00000056050",0.0389980875,0.208483204266016,2
"ENSG00000056097",-0.0405455,NA,1
"ENSG00000056291",-0.818124529,NA,1
"ENSG00000056487",-0.06439410875,0.48987692943453,2
"ENSG00000056586",0.05732564,NA,1
"ENSG00000056661",-0.417737239,NA,1
"ENSG00000056736",0.42031,NA,1
"ENSG00000056972",0.358638535,0.280538914740893,2
"ENSG00000056998",0.6972275975,0.145850852012678,2
"ENSG00000057252",0.17259921,NA,1
"ENSG00000057294",-0.852359141,NA,1
"ENSG00000057657",-0.189091279555556,0.30855476231412,3
"ENSG00000057663",0.182517384,NA,1
"ENSG00000057704",0.543229796,NA,1
"ENSG00000057757",0.196500333666667,NA,1
"ENSG00000057935",0.210072077,NA,1
"ENSG00000058056",-0.0410109055,0.16072113650119,2
"ENSG00000058063",-0.0089206795,NA,1
"ENSG00000058091",-0.1387025,NA,1
"ENSG00000058262",0.227805645,0.0907845274687931,2
"ENSG00000058272",-0.0504238,NA,1
"ENSG00000058335",-0.1428832955,0.0247945642249111,2
"ENSG00000058404",-0.324834323,NA,1
"ENSG00000058453",-0.153573844,NA,1
"ENSG00000058668",0.15313526,NA,1
"ENSG00000058673",-0.118899007,NA,1
"ENSG00000058729",0.247352431,NA,1
"ENSG00000058804",0.169736998,NA,1
"ENSG00000058866",-0.093776897,0.346264161954636,2
"ENSG00000059122",0.10011191,NA,1
"ENSG00000059377",0.88450885,0.197525171185075,2
"ENSG00000059378",-0.173876295,0.587397428579351,2
"ENSG00000059588",-0.157201011,0.167238867948924,4
"ENSG00000059691",0.23119663,NA,1
"ENSG00000059728",-0.344184254166667,0.200921911107867,2
"ENSG00000059758",-0.003182337,NA,1
"ENSG00000059769",-0.180311377,NA,1
"ENSG00000059804",-0.373297034166667,0.57498074580038,3
"ENSG00000059915",0.3142037565,NA,1
"ENSG00000060138",0.2724252,NA,1
