"gene","hgnc_symbol","n_disorders","disorders","degree","weighted_degree"
"ENSG00000176055","MBLAC2",3,"ADHD;MDD;SZ",4727,6597
"ENSG00000176076","KCNE5",2,"MDD;OCD",4488,5405
"ENSG00000176101","SSNA1",4,"ADHD;ASD;BD;MDD",4940,8767
"ENSG00000176102","CSTF3",2,"ADHD;MDD",4310,5200
"ENSG00000176165","FOXG1",2,"MDD;OCD",4488,5405
"ENSG00000176171","BNIP3",2,"BD;MDD",4639,6215
"ENSG00000176194","CIDEA",3,"ASD;MDD;OCD",4712,6841
"ENSG00000176208","ATAD5",2,"BD;SZ",2876,3528
"ENSG00000176225","RTTN",2,"BD;MDD",4639,6215
"ENSG00000176248","ANAPC2",2,"ADHD;MDD",4310,5200
"ENSG00000176273","SLC35G1",3,"ADHD;ASD;MDD",4624,6636
"ENSG00000176293","ZNF135",3,"BD;MDD;OCD",4878,7536
"ENSG00000176381","PRR18",2,"ASD;MDD",4478,5520
"ENSG00000176396","EID2",2,"ASD;MDD",4478,5520
"ENSG00000176428","VPS37D",2,"ASD;MDD",4478,5520
"ENSG00000176435","CLEC14A",2,"BD;MDD",4639,6215
"ENSG00000176454","LPCAT4",2,"ASD;MDD",4478,5520
"ENSG00000176490","DIRAS1",2,"ASD;MDD",4478,5520
"ENSG00000176563","CNTD1",2,"ADHD;MDD",4310,5200
"ENSG00000176593","ZNF606-AS1",2,"BD;MDD",4639,6215
"ENSG00000176697","BDNF",2,"MDD;SZ",4554,5481
"ENSG00000176731","RBIS",2,"ASD;MDD",4478,5520
"ENSG00000176788","BASP1",2,"ADHD;MDD",4310,5200
"ENSG00000176840","MIR7-3HG",2,"BD;SZ",2876,3528
"ENSG00000176845","METRNL",3,"ASD;MDD;OCD",4712,6841
"ENSG00000176871","WSB2",2,"MDD;OCD",4488,5405
"ENSG00000176907","TCIM",2,"BD;MDD",4639,6215
"ENSG00000176912","TYMSOS",2,"ASD;MDD",4478,5520
"ENSG00000176945","MUC20",2,"MDD;SZ",4554,5481
"ENSG00000176946","THAP4",2,"ADHD;MDD",4310,5200
"ENSG00000176956","LY6H",3,"ASD;MDD;OCD",4712,6841
"ENSG00000176974","SHMT1",3,"BD;MDD;SZ",4810,7612
"ENSG00000177030","DEAF1",2,"BD;MDD",4639,6215
"ENSG00000177034","MTX3",2,"MDD;OCD",4488,5405
"ENSG00000177076","ACER2",3,"ADHD;BD;MDD",4766,7331
"ENSG00000177084","POLE",3,"ADHD;BD;MDD",4766,7331
"ENSG00000177098","SCN4B",3,"BD;MDD;OCD",4878,7536
"ENSG00000177119","ANO6",3,"ASD;BD;OCD",3969,4888
"ENSG00000177181","RIMKLA",2,"ASD;OCD",2440,2757
"ENSG00000177182","CLVS1",2,"MDD;OCD",4488,5405
"ENSG00000177301","KCNA2",2,"ASD;OCD",2440,2757
"ENSG00000177352","CCDC71",2,"BD;OCD",3117,3452
"ENSG00000177370","TIMM22",3,"ASD;BD;MDD",4878,7651
"ENSG00000177374","HIC1",2,"BD;MDD",4639,6215
"ENSG00000177409","SAMD9L",2,"ASD;OCD",2440,2757
"ENSG00000177426","TGIF1",3,"ASD;OCD;SZ",3360,4154
"ENSG00000177432","NAP1L5",3,"ADHD;MDD;OCD",4654,6521
"ENSG00000177453","NIM1K",2,"ADHD;BD",3014,3247
"ENSG00000177464","GPR4",4,"BD;MDD;OCD;SZ",4958,8933
"ENSG00000177469","CAVIN1",2,"BD;SZ",2876,3528
"ENSG00000177519","RPRM",2,"ASD;MDD",4478,5520
"ENSG00000177542","SLC25A22",2,"MDD;OCD",4488,5405
"ENSG00000177570","SAMD12",2,"ASD;OCD",2440,2757
"ENSG00000177674","AGTRAP",3,"ASD;OCD;SZ",3360,4154
"ENSG00000177683","THAP5",2,"ADHD;MDD",4310,5200
"ENSG00000177685","CRACR2B",2,"BD;MDD",4639,6215
"ENSG00000177694","NAALADL2",2,"BD;MDD",4639,6215
"ENSG00000177706","FAM20C",2,"BD;SZ",2876,3528
"ENSG00000177721","ANXA2R",2,"ADHD;MDD",4310,5200
"ENSG00000177728","TMEM94",2,"ADHD;MDD",4310,5200
"ENSG00000177731","FLII",3,"ADHD;BD;MDD",4766,7331
"ENSG00000177875","CCDC184",4,"ASD;BD;MDD;SZ",4972,9048
"ENSG00000177954","RPS27",2,"MDD;OCD",4488,5405
"ENSG00000177981","ASB8",2,"ADHD;ASD",2382,2552
"ENSG00000177990","DPY19L2",3,"ADHD;BD;MDD",4766,7331
"ENSG00000178015","GPR150",2,"BD;SZ",2876,3528
"ENSG00000178026","LRRC75B",3,"BD;MDD;OCD",4878,7536
"ENSG00000178031","ADAMTSL1",2,"ASD;SZ",2595,2833
"ENSG00000178075","GRAMD1C",4,"ADHD;BD;MDD;SZ",4907,8728
"ENSG00000178127","NDUFV2",3,"ADHD;BD;MDD",4766,7331
"ENSG00000178163","ZNF518B",2,"BD;MDD",4639,6215
"ENSG00000178175","ZNF366",2,"BD;MDD",4639,6215
"ENSG00000178177","LCORL",2,"BD;MDD",4639,6215
"ENSG00000178188","SH2B1",2,"ADHD;MDD",4310,5200
"ENSG00000178381","ZFAND2A",2,"ADHD;SZ",2364,2513
"ENSG00000178385","PLEKHM3",2,"ADHD;MDD",4310,5200
"ENSG00000178386","ZNF223",2,"ASD;MDD",4478,5520
"ENSG00000178445","GLDC",2,"ASD;MDD",4478,5520
"ENSG00000178531","CTXN1",2,"MDD;OCD",4488,5405
"ENSG00000178538","CA8",2,"ASD;MDD",4478,5520
"ENSG00000178573","MAF",3,"BD;OCD;SZ",3682,4849
"ENSG00000178662","CSRNP3",2,"ASD;OCD",2440,2757
"ENSG00000178685","PARP10",2,"ASD;SZ",2595,2833
"ENSG00000178718","RPP25",2,"MDD;SZ",4554,5481
"ENSG00000178726","THBD",2,"MDD;SZ",4554,5481
"ENSG00000178741","COX5A",2,"ADHD;MDD",4310,5200
"ENSG00000178802","MPI",2,"ASD;MDD",4478,5520
"ENSG00000178821","TMEM52",2,"MDD;OCD",4488,5405
"ENSG00000178878","APOLD1",2,"BD;SZ",2876,3528
"ENSG00000178947","SMIM10L2A",2,"MDD;OCD",4488,5405
"ENSG00000178950","GAK",2,"ADHD;MDD",4310,5200
"ENSG00000178951","ZBTB7A",2,"ADHD;MDD",4310,5200
"ENSG00000178952","TUFM",2,"MDD;OCD",4488,5405
"ENSG00000178974","FBXO34",2,"MDD;OCD",4488,5405
"ENSG00000178980","SELENOW",2,"MDD;OCD",4488,5405
"ENSG00000178982","EIF3K",3,"ADHD;ASD;MDD",4624,6636
"ENSG00000179029","TMEM107",2,"ASD;BD",3243,3567
"ENSG00000179051","RCC2",2,"ASD;BD",3243,3567
"ENSG00000179073","TAAR3P",2,"MDD;OCD",4488,5405
"ENSG00000179119","SPTY2D1",2,"ASD;MDD",4478,5520
"ENSG00000179134","SAMD4B",2,"ADHD;OCD",2281,2437
"ENSG00000179144","GIMAP7",2,"BD;MDD",4639,6215
"ENSG00000179178","TMEM125",3,"ASD;BD;MDD",4878,7651
"ENSG00000179241","LDLRAD3",3,"ADHD;MDD;SZ",4727,6597
"ENSG00000179292","TMEM151A",2,"ADHD;MDD",4310,5200
"ENSG00000179314","WSCD1",2,"ASD;BD",3243,3567
"ENSG00000179331","RAB39A",2,"ASD;BD",3243,3567
"ENSG00000179344","HLA-DQB1",4,"BD;MDD;OCD;SZ",4958,8933
"ENSG00000179361","ARID3B",3,"BD;MDD;SZ",4810,7612
"ENSG00000179364","PACS2",2,"ADHD;OCD",2281,2437
"ENSG00000179388","EGR3",3,"ADHD;BD;MDD",4766,7331
"ENSG00000179397","CATSPERE",3,"BD;MDD;SZ",4810,7612
"ENSG00000179403","VWA1",2,"ADHD;MDD",4310,5200
"ENSG00000179455","MKRN3",2,"ADHD;MDD",4310,5200
"ENSG00000179456","ZBTB18",2,"ADHD;OCD",2281,2437
"ENSG00000179477","ALOX12B",2,"ASD;BD",3243,3567
"ENSG00000179520","SLC17A8",2,"MDD;SZ",4554,5481
"ENSG00000179523","EIF3J-DT",3,"ADHD;BD;MDD",4766,7331
"ENSG00000179542","SLITRK4",2,"ASD;OCD",2440,2757
"ENSG00000179598","PLD6",2,"ADHD;ASD",2382,2552
"ENSG00000179604","CDC42EP4",3,"ADHD;BD;SZ",3672,4644
"ENSG00000179630","LACC1",2,"ADHD;MDD",4310,5200
"ENSG00000179673","RPRML",2,"ASD;MDD",4478,5520
"ENSG00000179761","PIPOX",2,"BD;SZ",2876,3528
"ENSG00000179776","CDH5",2,"OCD;SZ",2413,2718
"ENSG00000179796","LRRC3B",2,"BD;MDD",4639,6215
"ENSG00000179820","MYADM",2,"ADHD;MDD",4310,5200
"ENSG00000179833","SERTAD2",2,"ADHD;MDD",4310,5200
"ENSG00000179869","ABCA13",3,"BD;MDD;SZ",4810,7612
"ENSG00000179902","CFAP276",2,"MDD;SZ",4554,5481
"ENSG00000179912","R3HDM2",3,"ASD;BD;MDD",4878,7651
"ENSG00000179988","PSTK",2,"BD;MDD",4639,6215
"ENSG00000180035","ZNF48",2,"ASD;MDD",4478,5520
"ENSG00000180089","TMEM86B",2,"MDD;SZ",4554,5481
"ENSG00000180113","TDRD6",2,"BD;MDD",4639,6215
"ENSG00000180155","LYNX1",4,"ADHD;ASD;MDD;OCD",4812,7957
"ENSG00000180176","TH",3,"BD;MDD;SZ",4810,7612
"ENSG00000180190","TDRP",2,"ASD;MDD",4478,5520
"ENSG00000180198","RCC1",2,"BD;MDD",4639,6215
"ENSG00000180340","FZD2",2,"MDD;OCD",4488,5405
"ENSG00000180346","TIGD2",2,"ADHD;MDD",4310,5200
"ENSG00000180423","HARBI1",2,"ASD;MDD",4478,5520
"ENSG00000180425","C11orf71",2,"ADHD;MDD",4310,5200
"ENSG00000180440","SERTM1",2,"MDD;SZ",4554,5481
"ENSG00000180447","GAS1",2,"ADHD;MDD",4310,5200
"ENSG00000180488","MIGA1",2,"ASD;MDD",4478,5520
"ENSG00000180592","SKIDA1",2,"BD;OCD",3117,3452
"ENSG00000180616","SSTR2",2,"ADHD;MDD",4310,5200
"ENSG00000180644","PRF1",2,"BD;SZ",2876,3528
"ENSG00000180660","MAB21L1",2,"MDD;SZ",4554,5481
"ENSG00000180739","S1PR5",2,"MDD;OCD",4488,5405
"ENSG00000180773","SLC36A4",2,"BD;OCD",3117,3452
"ENSG00000180822","PSMG4",3,"ADHD;BD;MDD",4766,7331
"ENSG00000180828","BHLHE22",2,"BD;MDD",4639,6215
"ENSG00000180834","MAP6D1",3,"ADHD;ASD;MDD",4624,6636
"ENSG00000180867","PDIA3P1",2,"MDD;SZ",4554,5481
"ENSG00000180875","GREM2",2,"ASD;MDD",4478,5520
"ENSG00000180881","CAPS2",2,"ASD;MDD",4478,5520
"ENSG00000180891","CUEDC1",2,"ASD;MDD",4478,5520
"ENSG00000180900","SCRIB",3,"ADHD;ASD;MDD",4624,6636
"ENSG00000180938","ZNF572",2,"ADHD;MDD",4310,5200
"ENSG00000180998","GPR137C",2,"MDD;SZ",4554,5481
"ENSG00000181019","NQO1",2,"ASD;SZ",2595,2833
"ENSG00000181031","RPH3AL",3,"BD;MDD;OCD",4878,7536
"ENSG00000181045","SLC26A11",2,"ASD;BD",3243,3567
"ENSG00000181072","CHRM2",2,"MDD;OCD",4488,5405
"ENSG00000181085","MAPK15",3,"ASD;MDD;OCD",4712,6841
"ENSG00000181240","SLC25A41",2,"ASD;SZ",2595,2833
"ENSG00000181264","TLCD5",2,"ADHD;MDD",4310,5200
"ENSG00000181291","TMEM132E",2,"ASD;MDD",4478,5520
"ENSG00000181350","LRRC75A",2,"MDD;SZ",4554,5481
"ENSG00000181396","OGFOD3",2,"MDD;OCD",4488,5405
"ENSG00000181409","AATK",3,"ASD;MDD;OCD",4712,6841
"ENSG00000181418","DDN",2,"MDD;OCD",4488,5405
"ENSG00000181450","ZNF678",4,"ADHD;BD;MDD;SZ",4907,8728
"ENSG00000181458","TMEM45A",2,"MDD;OCD",4488,5405
"ENSG00000181513","ACBD4",2,"BD;MDD",4639,6215
"ENSG00000181523","SGSH",2,"ASD;OCD",2440,2757
"ENSG00000181555","SETD2",2,"ASD;MDD",4478,5520
"ENSG00000181626","ANKRD62",3,"BD;MDD;SZ",4810,7612
"ENSG00000181631","P2RY13",3,"BD;MDD;SZ",4810,7612
"ENSG00000181773","GPR3",2,"BD;MDD",4639,6215
"ENSG00000181790","ADGRB1",2,"MDD;SZ",4554,5481
"ENSG00000181804","SLC9A9",4,"ADHD;BD;MDD;OCD",4957,8652
"ENSG00000181826","RELL1",2,"OCD;SZ",2413,2718
"ENSG00000181856","SLC2A4",3,"ASD;MDD;OCD",4712,6841
"ENSG00000181915","ADO",3,"ADHD;ASD;MDD",4624,6636
"ENSG00000181982","CCDC149",2,"BD;MDD",4639,6215
"ENSG00000182010","RTKN2",3,"ASD;MDD;OCD",4712,6841
"ENSG00000182050","MGAT4C",2,"BD;MDD",4639,6215
"ENSG00000182095","TNRC18",3,"ADHD;MDD;SZ",4727,6597
"ENSG00000182108","DEXI",3,"ADHD;BD;MDD",4766,7331
