"gene","degree","weighted_degree"
"ENSG00000105968",4940,8767
"ENSG00000158201",4940,8767
"ENSG00000167770",4940,8767
"ENSG00000168575",4940,8767
"ENSG00000173559",4940,8767
"ENSG00000176101",4940,8767
"ENSG00000183287",4940,8767
"ENSG00000244694",4940,8767
"ENSG00000080546",4907,8728
"ENSG00000113916",4907,8728
"ENSG00000116852",4907,8728
"ENSG00000135363",4907,8728
"ENSG00000135596",4907,8728
"ENSG00000137393",4907,8728
"ENSG00000138166",4907,8728
"ENSG00000139318",4907,8728
"ENSG00000144857",4907,8728
"ENSG00000153234",4907,8728
"ENSG00000157005",4907,8728
"ENSG00000157741",4907,8728
"ENSG00000168811",4907,8728
"ENSG00000168918",4907,8728
"ENSG00000171522",4907,8728
"ENSG00000173391",4907,8728
"ENSG00000173706",4907,8728
"ENSG00000178075",4907,8728
"ENSG00000181450",4907,8728
"ENSG00000185015",4907,8728
"ENSG00000187531",4907,8728
"ENSG00000205364",4907,8728
"ENSG00000211592",4907,8728
"ENSG00000254656",4907,8728
"ENSG00000106560",4957,8652
"ENSG00000107223",4957,8652
"ENSG00000118785",4957,8652
"ENSG00000125730",4957,8652
"ENSG00000167173",4957,8652
"ENSG00000181804",4957,8652
"ENSG00000203747",4957,8652
"ENSG00000204103",4957,8652
"ENSG00000063177",4950,8238
"ENSG00000099998",4950,8238
"ENSG00000111262",4950,8238
"ENSG00000120645",4950,8238
"ENSG00000125520",4950,8238
"ENSG00000129636",4950,8238
"ENSG00000130066",4950,8238
"ENSG00000130202",4950,8238
"ENSG00000131094",4950,8238
"ENSG00000133083",4950,8238
"ENSG00000143545",4950,8238
"ENSG00000163072",4950,8238
"ENSG00000165804",4950,8238
"ENSG00000168899",4950,8238
"ENSG00000168993",4950,8238
"ENSG00000182718",4950,8238
"ENSG00000183963",4950,8238
"ENSG00000187398",4950,8238
"ENSG00000187608",4950,8238
"ENSG00000188517",4950,8238
"ENSG00000066056",4927,8033
"ENSG00000099949",4927,8033
"ENSG00000132329",4927,8033
"ENSG00000149782",4927,8033
"ENSG00000153823",4927,8033
"ENSG00000154133",4927,8033
"ENSG00000074706",4812,7957
"ENSG00000106123",4812,7957
"ENSG00000109103",4812,7957
"ENSG00000115310",4812,7957
"ENSG00000141576",4812,7957
"ENSG00000153310",4812,7957
"ENSG00000155926",4812,7957
"ENSG00000171608",4812,7957
"ENSG00000180155",4812,7957
"ENSG00000185650",4812,7957
"ENSG00000099875",4926,7918
"ENSG00000122877",4926,7918
"ENSG00000125740",4926,7918
"ENSG00000130522",4926,7918
"ENSG00000137727",4926,7918
"ENSG00000151229",4926,7918
"ENSG00000159388",4926,7918
"ENSG00000163660",4926,7918
"ENSG00000167470",4926,7918
"ENSG00000171860",4926,7918
"ENSG00000171951",4926,7918
"ENSG00000244734",4926,7918
"ENSG00000008853",4878,7651
"ENSG00000010322",4878,7651
"ENSG00000015153",4878,7651
"ENSG00000017483",4878,7651
"ENSG00000046653",4878,7651
"ENSG00000048545",4878,7651
"ENSG00000065135",4878,7651
"ENSG00000066027",4878,7651
"ENSG00000070366",4878,7651
"ENSG00000076382",4878,7651
"ENSG00000076706",4878,7651
"ENSG00000078596",4878,7651
"ENSG00000091592",4878,7651
"ENSG00000092969",4878,7651
"ENSG00000101040",4878,7651
"ENSG00000101049",4878,7651
"ENSG00000101160",4878,7651
"ENSG00000101638",4878,7651
"ENSG00000102287",4878,7651
"ENSG00000102524",4878,7651
"ENSG00000102934",4878,7651
"ENSG00000106080",4878,7651
"ENSG00000106125",4878,7651
"ENSG00000108256",4878,7651
"ENSG00000110172",4878,7651
"ENSG00000110200",4878,7651
"ENSG00000111728",4878,7651
"ENSG00000114698",4878,7651
"ENSG00000116044",4878,7651
"ENSG00000116983",4878,7651
"ENSG00000117594",4878,7651
"ENSG00000120889",4878,7651
"ENSG00000121039",4878,7651
"ENSG00000121413",4878,7651
