"gene","degree","weighted_degree","hgnc_symbol"
"ENSG00000090924",5008,9354,"PLEKHG2"
"ENSG00000091039",4488,5405,"OSBPL8"
"ENSG00000091073",4478,5520,"DTX2"
"ENSG00000091106",4488,5405,"NLRC4"
"ENSG00000091136",4940,8767,"LAMB1"
"ENSG00000091409",4488,5405,"ITGA6"
"ENSG00000091513",4478,5520,"TF"
"ENSG00000091592",4878,7651,"NLRP1"
"ENSG00000091622",4488,5405,"PITPNM3"
"ENSG00000091844",4488,5405,"RGS17"
"ENSG00000091879",4878,7536,"ANGPT2"
"ENSG00000091986",2876,3528,"CCDC80"
"ENSG00000092421",4310,5200,"SEMA6A"
"ENSG00000092470",4639,6215,"WDR76"
"ENSG00000092758",4983,8972,"COL9A3"
"ENSG00000092969",4878,7651,"TGFB2"
"ENSG00000093072",2413,2718,"ADA2"
"ENSG00000093167",4554,5481,"LRRFIP2"
"ENSG00000094963",4488,5405,"FMO2"
"ENSG00000095015",2364,2513,"MAP3K1"
"ENSG00000095303",2876,3528,"PTGS1"
"ENSG00000095370",4310,5200,"SH2D3C"
"ENSG00000095380",4488,5405,"NANS"
"ENSG00000095585",4958,8933,"BLNK"
"ENSG00000095637",4488,5405,"SORBS1"
"ENSG00000095713",4478,5520,"CRTAC1"
"ENSG00000095739",2281,2437,"BAMBI"
"ENSG00000095794",4478,5520,"CREM"
"ENSG00000095970",4972,9048,"TREM2"
"ENSG00000096060",2876,3528,"FKBP5"
"ENSG00000096063",3117,3452,"SRPK1"
"ENSG00000096433",4554,5481,"ITPR3"
"ENSG00000096654",4310,5200,"ZNF184"
"ENSG00000096696",3969,4888,"DSP"
"ENSG00000097096",4310,5200,"SYDE2"
"ENSG00000099139",3243,3567,"PCSK5"
"ENSG00000099194",4639,6215,"SCD"
"ENSG00000099204",4639,6215,"ABLIM1"
"ENSG00000099219",4639,6215,"ERMP1"
"ENSG00000099250",4488,5405,"NRP1"
"ENSG00000099260",4488,5405,"PALMD"
"ENSG00000099308",4654,6521,"MAST3"
"ENSG00000099364",4310,5200,"FBXL19"
"ENSG00000099365",4712,6841,"STX1B"
"ENSG00000099377",4972,9048,"HSD3B7"
"ENSG00000099381",4310,5200,"SETD1A"
"ENSG00000099385",4727,6597,"BCL7C"
"ENSG00000099617",2382,2552,"EFNA2"
"ENSG00000099624",4809,6802,"ATP5F1D"
"ENSG00000099625",4878,7536,"CBARP"
"ENSG00000099795",4478,5520,"NDUFB7"
"ENSG00000099797",4488,5405,"TECR"
"ENSG00000099814",4488,5405,"CEP170B"
"ENSG00000099822",4488,5405,"HCN2"
"ENSG00000099860",4639,6215,"GADD45B"
"ENSG00000099864",4488,5405,"PALM"
"ENSG00000099875",4926,7918,"MKNK2"
"ENSG00000099904",4654,6521,"ZDHHC8"
"ENSG00000099917",4478,5520,"MED15"
"ENSG00000099937",4639,6215,"SERPIND1"
"ENSG00000099942",2382,2552,"CRKL"
"ENSG00000099949",4927,8033,"LZTR1"
"ENSG00000099968",2876,3528,"BCL2L13"
"ENSG00000099992",4310,5200,"TBC1D10A"
"ENSG00000099994",4639,6215,"SUSD2"
"ENSG00000099998",4950,8238,"GGT5"
"ENSG00000100027",2876,3528,"YPEL1"
"ENSG00000100028",4639,6215,"SNRPD3"
"ENSG00000100029",4478,5520,"PES1"
"ENSG00000100030",4478,5520,"MAPK1"
"ENSG00000100031",4554,5481,"GGT1"
"ENSG00000100055",4654,6521,"CYTH4"
"ENSG00000100060",4488,5405,"MFNG"
"ENSG00000100075",2364,2513,"SLC25A1"
"ENSG00000100092",4766,7331,"SH3BP1"
"ENSG00000100100",4727,6597,"PIK3IP1"
"ENSG00000100116",2413,2718,"GCAT"
"ENSG00000100122",4639,6215,"CRYBB1"
"ENSG00000100146",4488,5405,"SOX10"
"ENSG00000100154",4639,6215,"TTC28"
"ENSG00000100196",4310,5200,"KDELR3"
"ENSG00000100209",4554,5481,"HSCB"
"ENSG00000100219",4727,6597,"XBP1"
"ENSG00000100221",4310,5200,"JOSD1"
"ENSG00000100241",4310,5200,"SBF1"
"ENSG00000100276",4478,5520,"RASL10A"
"ENSG00000100285",4810,7612,"NEFH"
"ENSG00000100292",5008,11485,"HMOX1"
"ENSG00000100297",4310,5200,"MCM5"
"ENSG00000100319",3117,3452,"ZMAT5"
"ENSG00000100320",4310,5200,"RBFOX2"
"ENSG00000100330",4478,5520,"MTMR3"
"ENSG00000100336",4878,7536,"APOL4"
"ENSG00000100342",3682,4849,"APOL1"
"ENSG00000100346",4488,5405,"CACNA1I"
"ENSG00000100348",4488,5405,"TXN2"
"ENSG00000100359",4310,5200,"SGSM3"
"ENSG00000100362",4478,5520,"PVALB"
"ENSG00000100365",3117,3452,"NCF4"
"ENSG00000100368",4766,7331,"CSF2RB"
"ENSG00000100376",4958,8933,"FAM118A"
"ENSG00000100379",4712,6841,"KCTD17"
"ENSG00000100417",4310,5200,"PMM1"
"ENSG00000100429",4639,6215,"HDAC10"
"ENSG00000100473",4488,5405,"COCH"
"ENSG00000100483",4488,5405,"VCPKMT"
"ENSG00000100490",2876,3528,"CDKL1"
"ENSG00000100504",3682,4849,"PYGL"
"ENSG00000100532",4478,5520,"CGRRF1"
"ENSG00000100591",3014,3247,"AHSA1"
"ENSG00000100599",4727,6597,"RIN3"
"ENSG00000100605",4310,5200,"ITPK1"
"ENSG00000100625",4639,6215,"SIX4"
"ENSG00000100628",4310,5200,"ASB2"
"ENSG00000100784",4810,7612,"RPS6KA5"
"ENSG00000100804",4766,7331,"PSMB5"
"ENSG00000100813",4940,8767,"ACIN1"
"ENSG00000100815",4639,6215,"TRIP11"
"ENSG00000100852",2595,2833,"ARHGAP5"
"ENSG00000100865",4639,6215,"CINP"
"ENSG00000100889",4639,6215,"PCK2"
"ENSG00000100911",4478,5520,"PSME2"
"ENSG00000100938",4624,6636,"GMPR2"
"ENSG00000100941",4310,5200,"PNN"
"ENSG00000101040",4878,7651,"ZMYND8"
"ENSG00000101049",4878,7651,"SGK2"
"ENSG00000101079",2440,2757,"NDRG3"
"ENSG00000101104",2281,2437,"PABPC1L"
"ENSG00000101109",4488,5405,"STK4"
"ENSG00000101126",4554,5481,"ADNP"
"ENSG00000101138",4639,6215,"CSTF1"
"ENSG00000101146",4639,6215,"RAE1"
"ENSG00000101150",4478,5520,"TPD52L2"
"ENSG00000101152",4310,5200,"DNAJC5"
"ENSG00000101160",4878,7651,"CTSZ"
"ENSG00000101180",4810,7612,"HRH3"
"ENSG00000101190",4478,5520,"TCFL5"
"ENSG00000101203",4488,5405,"COL20A1"
"ENSG00000101210",4488,5405,"EEF1A2"
"ENSG00000101220",4488,5405,"ADISSP"
"ENSG00000101276",4639,6215,"SLC52A3"
"ENSG00000101306",4310,5200,"MYLK2"
"ENSG00000101335",4972,9048,"MYL9"
"ENSG00000101336",4488,5405,"HCK"
"ENSG00000101343",4478,5520,"CRNKL1"
"ENSG00000101350",4478,5520,"KIF3B"
"ENSG00000101391",4639,6215,"CDK5RAP1"
"ENSG00000101438",4488,5405,"SLC32A1"
"ENSG00000101442",4766,7331,"ACTR5"
"ENSG00000101443",2413,2718,"WFDC2"
"ENSG00000101445",4488,5405,"PPP1R16B"
"ENSG00000101460",4478,5520,"MAP1LC3A"
"ENSG00000101463",2876,3528,"SYNDIG1"
"ENSG00000101493",3840,4964,"ZNF516"
"ENSG00000101574",4310,5200,"METTL4"
"ENSG00000101605",3117,3452,"MYOM1"
"ENSG00000101638",4878,7651,"ST8SIA5"
"ENSG00000101849",4478,5520,"TBL1X"
"ENSG00000101871",4478,5520,"MID1"
"ENSG00000101883",4639,6215,"RHOXF1"
"ENSG00000101916",4639,6215,"TLR8"
"ENSG00000101938",2440,2757,"CHRDL1"
"ENSG00000101940",4488,5405,"WDR13"
"ENSG00000102007",3682,4849,"PLP2"
"ENSG00000102038",4478,5520,"SMARCA1"
"ENSG00000102109",4488,5405,"PCSK1N"
"ENSG00000102218",3243,3567,"RP2"
"ENSG00000102265",3969,4888,"TIMP1"
"ENSG00000102287",4878,7651,"GABRE"
"ENSG00000102290",4554,5481,"PCDH11X"
"ENSG00000102316",4488,5405,"MAGED2"
"ENSG00000102359",4878,7536,"SRPX2"
"ENSG00000102385",4488,5405,"DRP2"
"ENSG00000102387",4478,5520,"TAF7L"
"ENSG00000102393",4478,5520,"GLA"
"ENSG00000102445",3243,3567,"RUBCNL"
"ENSG00000102452",4554,5481,"NALCN"
"ENSG00000102468",4826,6917,"HTR2A"
"ENSG00000102524",4878,7651,"TNFSF13B"
"ENSG00000102547",4810,7612,"CAB39L"
"ENSG00000102554",4478,5520,"KLF5"
"ENSG00000102743",5008,7401,"SLC25A15"
"ENSG00000102755",4639,6215,"FLT1"
"ENSG00000102786",4639,6215,"INTS6"
"ENSG00000102796",3117,3452,"DHRS12"
"ENSG00000102804",4810,7612,"TSC22D1"
"ENSG00000102805",4478,5520,"CLN5"
"ENSG00000102878",4810,7612,"HSF4"
"ENSG00000102882",4478,5520,"MAPK3"
"ENSG00000102893",4478,5520,"PHKB"
"ENSG00000102897",4639,6215,"LYRM1"
"ENSG00000102908",4310,5200,"NFAT5"
"ENSG00000102934",4878,7651,"PLLP"
"ENSG00000102967",4310,5200,"DHODH"
"ENSG00000102981",4478,5520,"PARD6A"
"ENSG00000103056",4554,5481,"SMPD3"
"ENSG00000103066",4478,5520,"PLA2G15"
"ENSG00000103089",2440,2757,"FA2H"
"ENSG00000103111",4478,5520,"MON1B"
"ENSG00000103154",4488,5405,"NECAB2"
"ENSG00000103160",4310,5200,"HSDL1"
"ENSG00000103184",4478,5520,"SEC14L5"
"ENSG00000103196",2876,3528,"CRISPLD2"
"ENSG00000103202",4554,5481,"NME4"
"ENSG00000103227",4554,5481,"LMF1"
"ENSG00000103241",4554,5481,"FOXF1"
"ENSG00000103253",4488,5405,"HAGHL"
"ENSG00000103257",2876,3528,"SLC7A5"
"ENSG00000103269",4478,5520,"RHBDL1"
"ENSG00000103274",4639,6215,"NUBP1"
"ENSG00000103342",4310,5200,"GSPT1"
"ENSG00000103365",4639,6215,"GGA2"
"ENSG00000103429",4310,5200,"BFAR"
"ENSG00000103460",4478,5520,"TOX3"
"ENSG00000103490",4878,7536,"PYCARD"
"ENSG00000103494",3243,3567,"RPGRIP1L"
"ENSG00000103495",4310,5200,"MAZ"
"ENSG00000103507",4488,5405,"BCKDK"
"ENSG00000103528",2595,2833,"SYT17"
"ENSG00000103642",3243,3567,"LACTB"
"ENSG00000103653",4310,5200,"CSK"
"ENSG00000103707",3243,3567,"MTFMT"
"ENSG00000103710",4488,5405,"RASL12"
"ENSG00000103811",4554,5481,"CTSH"
"ENSG00000103852",4554,5481,"TTC23"
"ENSG00000103876",3257,3873,"FAH"
"ENSG00000103888",3117,3452,"CEMIP"
"ENSG00000103966",2382,2552,"EHD4"
"ENSG00000103995",4639,6215,"CEP152"
"ENSG00000104059",4639,6215,"ENTREP2"
"ENSG00000104081",2876,3528,"BMF"
"ENSG00000104093",4639,6215,"DMXL2"
"ENSG00000104154",4488,5405,"SLC30A4"
"ENSG00000104228",4310,5200,"TRIM35"
"ENSG00000104327",4878,7536,"CALB1"
"ENSG00000104331",4478,5520,"BPNT2"
"ENSG00000104361",4478,5520,"NIPAL2"
"ENSG00000104375",4554,5481,"STK3"
"ENSG00000104427",3014,3247,"ZC2HC1A"
"ENSG00000104442",4310,5200,"ARMC1"
"ENSG00000104447",4478,5520,"TRPS1"
"ENSG00000104450",4310,5200,"SPAG1"
"ENSG00000104490",2440,2757,"NCALD"
"ENSG00000104518",2382,2552,"GSDMD"
"ENSG00000104522",4639,6215,"GFUS"
"ENSG00000104524",4639,6215,"PYCR3"
"ENSG00000104529",4554,5481,"EEF1D"
"ENSG00000104635",4810,7612,"SLC39A14"
"ENSG00000104687",4639,6215,"GSR"
"ENSG00000104691",4639,6215,"UBXN8"
"ENSG00000104805",4488,5405,"NUCB1"
"ENSG00000104812",4878,7536,"GYS1"
"ENSG00000104823",4654,6521,"ECH1"
"ENSG00000104824",4310,5200,"HNRNPL"
"ENSG00000104856",2364,2513,"RELB"
"ENSG00000104866",4639,6215,"PPP1R37"
"ENSG00000104872",4310,5200,"PIH1D1"
"ENSG00000104885",4310,5200,"DOT1L"
"ENSG00000104888",4478,5520,"SLC17A7"
"ENSG00000104889",4478,5520,"RNASEH2A"
"ENSG00000104897",4310,5200,"SF3A2"
"ENSG00000104936",4727,6597,"DMPK"
"ENSG00000104951",3243,3567,"IL4I1"
"ENSG00000104957",4554,5481,"YJU2B"
"ENSG00000104964",4488,5405,"TLE5"
"ENSG00000104969",4654,6521,"SGTA"
"ENSG00000104972",4810,7612,"LILRB1"
"ENSG00000104976",4310,5200,"SNAPC2"
"ENSG00000104998",4639,6215,"IL27RA"
"ENSG00000105085",4488,5405,"MED26"
"ENSG00000105122",4554,5481,"RASAL3"
"ENSG00000105127",4310,5200,"AKAP8"
"ENSG00000105136",4310,5200,"ZNF419"
"ENSG00000105146",4639,6215,"AURKC"
"ENSG00000105229",4310,5200,"PIAS4"
"ENSG00000105246",4488,5405,"EBI3"
"ENSG00000105254",4488,5405,"TBCB"
