"GO_term","count.all_terms","count.Freq"
"myeloid cell homeostasis","myeloid cell homeostasis",2
"myeloid leukocyte activation","myeloid leukocyte activation",3
"myeloid leukocyte cytokine production","myeloid leukocyte cytokine production",3
"myeloid leukocyte differentiation","myeloid leukocyte differentiation",3
"myeloid leukocyte mediated immunity","myeloid leukocyte mediated immunity",2
"myeloid leukocyte migration","myeloid leukocyte migration",3
"negative regulation of adaptive immune response","negative regulation of adaptive immune response",2
"negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",2
"negative regulation of apoptotic signaling pathway","negative regulation of apoptotic signaling pathway",2
"negative regulation of catalytic activity","negative regulation of catalytic activity",2
"negative regulation of CD4-positive, alpha-beta T cell differentiation","negative regulation of CD4-positive, alpha-beta T cell differentiation",2
"negative regulation of cell activation","negative regulation of cell activation",2
"negative regulation of cell adhesion","negative regulation of cell adhesion",2
"negative regulation of cell development","negative regulation of cell development",3
"negative regulation of cell projection organization","negative regulation of cell projection organization",2
"negative regulation of cell-cell adhesion","negative regulation of cell-cell adhesion",2
"negative regulation of complement activation","negative regulation of complement activation",2
"negative regulation of cytokine production","negative regulation of cytokine production",2
"negative regulation of endothelial cell apoptotic process","negative regulation of endothelial cell apoptotic process",2
"negative regulation of ERK1 and ERK2 cascade","negative regulation of ERK1 and ERK2 cascade",2
"negative regulation of extrinsic apoptotic signaling pathway","negative regulation of extrinsic apoptotic signaling pathway",2
"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",2
"negative regulation of growth","negative regulation of growth",2
"negative regulation of hemopoiesis","negative regulation of hemopoiesis",3
"negative regulation of humoral immune response","negative regulation of humoral immune response",2
"negative regulation of immune effector process","negative regulation of immune effector process",2
"negative regulation of immune response","negative regulation of immune response",3
"negative regulation of leukocyte activation","negative regulation of leukocyte activation",2
"negative regulation of leukocyte cell-cell adhesion","negative regulation of leukocyte cell-cell adhesion",2
"negative regulation of leukocyte differentiation","negative regulation of leukocyte differentiation",3
"negative regulation of leukocyte proliferation","negative regulation of leukocyte proliferation",2
"negative regulation of lymphocyte activation","negative regulation of lymphocyte activation",2
"negative regulation of lymphocyte differentiation","negative regulation of lymphocyte differentiation",3
"negative regulation of MAPK cascade","negative regulation of MAPK cascade",2
"negative regulation of molecular function","negative regulation of molecular function",3
"negative regulation of neuron projection development","negative regulation of neuron projection development",2
"negative regulation of phosphate metabolic process","negative regulation of phosphate metabolic process",2
"negative regulation of phosphorus metabolic process","negative regulation of phosphorus metabolic process",2
"negative regulation of phosphorylation","negative regulation of phosphorylation",2
"negative regulation of secretion","negative regulation of secretion",2
"negative regulation of secretion by cell","negative regulation of secretion by cell",2
"negative regulation of T cell activation","negative regulation of T cell activation",2
"negative regulation of T cell differentiation","negative regulation of T cell differentiation",2
"negative regulation of transport","negative regulation of transport",3
"negative regulation of viral genome replication","negative regulation of viral genome replication",2
"negative regulation of viral process","negative regulation of viral process",2
"nephron development","nephron development",2
"nerve development","nerve development",2
"neuron apoptotic process","neuron apoptotic process",3
"neuron projection extension","neuron projection extension",2
"neuron projection guidance","neuron projection guidance",4
"neuron projection organization","neuron projection organization",3
"neurotransmitter secretion","neurotransmitter secretion",3
"neurotransmitter transport","neurotransmitter transport",3
"neutrophil extravasation","neutrophil extravasation",2
"neutrophil migration","neutrophil migration",2
"non-canonical NF-kappaB signal transduction","non-canonical NF-kappaB signal transduction",2
"organelle fusion","organelle fusion",2
"organic acid transport","organic acid transport",2
"organic cation transport","organic cation transport",3
"ossification","ossification",2
"osteoclast differentiation","osteoclast differentiation",2
"p38MAPK cascade","p38MAPK cascade",2
"pallium development","pallium development",2
"pattern recognition receptor signaling pathway","pattern recognition receptor signaling pathway",4
"peptide antigen assembly with MHC class II protein complex","peptide antigen assembly with MHC class II protein complex",3
"peptide antigen assembly with MHC protein complex","peptide antigen assembly with MHC protein complex",2
"peptide transport","peptide transport",2
"peptidyl-amino acid modification","peptidyl-amino acid modification",2
"peptidyl-tyrosine modification","peptidyl-tyrosine modification",2
"peptidyl-tyrosine phosphorylation","peptidyl-tyrosine phosphorylation",2
"phagocytosis","phagocytosis",3
"phagocytosis, engulfment","phagocytosis, engulfment",2
"phosphatidylinositol 3-kinase/protein kinase B signal transduction","phosphatidylinositol 3-kinase/protein kinase B signal transduction",3
"phospholipase C-activating G protein-coupled receptor signaling pathway","phospholipase C-activating G protein-coupled receptor signaling pathway",3
"phospholipid biosynthetic process","phospholipid biosynthetic process",2
"phospholipid metabolic process","phospholipid metabolic process",3
"platelet activation","platelet activation",2
"platelet aggregation","platelet aggregation",2
"positive regulation of adaptive immune response","positive regulation of adaptive immune response",2
"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",2
"positive regulation of alpha-beta T cell activation","positive regulation of alpha-beta T cell activation",3
"positive regulation of alpha-beta T cell differentiation","positive regulation of alpha-beta T cell differentiation",2
"positive regulation of angiogenesis","positive regulation of angiogenesis",3
"positive regulation of antigen processing and presentation","positive regulation of antigen processing and presentation",2
"positive regulation of apoptotic signaling pathway","positive regulation of apoptotic signaling pathway",2
"positive regulation of canonical NF-kappaB signal transduction","positive regulation of canonical NF-kappaB signal transduction",3
"positive regulation of catalytic activity","positive regulation of catalytic activity",3
"positive regulation of CD4-positive, alpha-beta T cell activation","positive regulation of CD4-positive, alpha-beta T cell activation",2
"positive regulation of CD4-positive, alpha-beta T cell differentiation","positive regulation of CD4-positive, alpha-beta T cell differentiation",2
"positive regulation of cell activation","positive regulation of cell activation",3
"positive regulation of cell development","positive regulation of cell development",2
"positive regulation of cell projection organization","positive regulation of cell projection organization",2
"positive regulation of cell-cell adhesion","positive regulation of cell-cell adhesion",3
"positive regulation of cell-substrate adhesion","positive regulation of cell-substrate adhesion",2
"positive regulation of chemokine production","positive regulation of chemokine production",2
"positive regulation of chemotaxis","positive regulation of chemotaxis",2
"positive regulation of cytokine production involved in immune response","positive regulation of cytokine production involved in immune response",3
"positive regulation of cytokine-mediated signaling pathway","positive regulation of cytokine-mediated signaling pathway",2
"positive regulation of DNA-binding transcription factor activity","positive regulation of DNA-binding transcription factor activity",2
"positive regulation of endothelial cell proliferation","positive regulation of endothelial cell proliferation",2
"positive regulation of epithelial cell proliferation","positive regulation of epithelial cell proliferation",3
"positive regulation of ERK1 and ERK2 cascade","positive regulation of ERK1 and ERK2 cascade",2
"positive regulation of gliogenesis","positive regulation of gliogenesis",2
"positive regulation of hemopoiesis","positive regulation of hemopoiesis",3
"positive regulation of immune effector process","positive regulation of immune effector process",3
"positive regulation of inflammatory response","positive regulation of inflammatory response",3
"positive regulation of innate immune response","positive regulation of innate immune response",4
"positive regulation of interferon-beta production","positive regulation of interferon-beta production",3
"positive regulation of interleukin-1 beta production","positive regulation of interleukin-1 beta production",2
"positive regulation of interleukin-1 production","positive regulation of interleukin-1 production",2
