"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099643","signal release from synapse","32/1607","154/18860",0.207792207792208,2.43868141814626,5.47103492595896,1.8154878107028e-06,0.000255408138832531,0.000207091459382607,"CAMK2A/CHRNA3/RPH3A/STX1B/SLC32A1/DVL1/ASIC1/CSPG5/OTOF/SV2C/NAPB/PRKCG/UNC13A/SNAP25/SYT11/SYT4/UNC13C/MYOF/SYT2/CPLX2/GPR158/PTPRN2/BRAF/BRSK1/PRKCB/CPLX1/SNCG/ATP2A2/MCTP1/RPH3AL/CACNB4/SV2B",32
"GO:0002181","cytoplasmic translation","39/1607","208/18860",0.1875,2.20052893590541,5.31344945605065,2.18624464549755e-06,0.00030024426464833,0.000243445738344502,"RPL18/RPL31/EIF3I/RPL6/RPLP0/RPL34/RWDD1/RPL24/RPL21/RPL23/RPL27/RPS15A/RPL35/RPS6/RPS24/RPS11/RPL11/RPS3A/OGT/RPL7/RPL8/RPL26/PRKAA2/RPL22L1/RPL9/RPS21/RPS7/RPS27/RPS17/RPL35A/EIF3C/RPL14/RPS4X/RPL10A/RPL39/RPS29/RPL41/RPS18/RPL17",39
"GO:0051588","regulation of neurotransmitter transport","25/1607","108/18860",0.231481481481481,2.71670239000668,5.46031943056159,3.16857639251759e-06,0.000415936314358269,0.000337251814857615,"CAMK2A/CHRNA3/NOS1/STX1B/DVL1/ASIC1/CSPG5/OTOF/SV2C/PRKCG/GFAP/SYT11/SYT4/MYOF/SYT2/GPR158/BRAF/PRKCB/RAB3B/SNCG/ATP2A2/MCTP1/CACNB4/SV2B/ITGB3",25
"GO:0086001","cardiac muscle cell action potential","22/1607","88/18860",0.25,2.93403858120722,5.54991273086352,3.17288450620039e-06,0.000415936314358269,0.000337251814857615,"NEDD4L/KCNH2/DLG1/NOS1/DSP/HCN2/SLC4A3/DSC2/SCN2A/SCN7A/GPD1L/SLMAP/CACNB2/ATP2A2/KCNE3/KCNE5/SCN4B/SLC8A1/CTNNA3/SCN8A/RYR2/CALM1",22
"GO:0018108","peptidyl-tyrosine phosphorylation","27/1607","122/18860",0.221311475409836,2.59734562926541,5.40196981682661,3.26005100708286e-06,0.000417866093530088,0.000338816529227348,"FGR/BTK/FLT4/TNK2/TSG101/FGFR1/HCK/JAK3/UNC119/PTPN6/PDGFRB/HES1/ARHGEF2/RAP2C/EPHA7/ABI2/PARP9/ERBB2/SFRP2/IL18/KIT/SYK/EFNA1/CSPG4/DDR1/LYN/SRCIN1",27
"GO:1902105","regulation of leukocyte differentiation","55/1607","343/18860",0.160349854227405,1.88189063517664,5.03050326321699,3.64876824986604e-06,0.000457523810113637,0.00037097202137654,"TMEM176A/BTK/CD74/HMGB3/SPI1/CYLD/ABL1/JAK3/TMEM176B/VSIR/MDK/CD69/PTPN6/LOXL3/GPR68/RARA/ANXA1/IRF4/RIPK1/GPR65/ERBB2/ITPKB/SOX13/ZC3H8/NFKBIZ/PIK3R1/IL18/CAMK4/ZFP36L2/UBASH3B/SH3RF1/BRAF/SLAMF8/RUNX1/ZBTB7B/TAL1/TGFBR2/CARTPT/SYK/EEIG1/IL7R/FOS/JUNB/RASGRP1/HCLS1/CSF1/HSF1/ZFP36L1/NRARP/CR1/MAFB/HLA-DOA/HLA-DRA/TNF/LYN",55
"GO:0002697","regulation of immune effector process","64/1607","421/18860",0.152019002375297,1.78411847218301,4.96579753170095,3.83373923372868e-06,0.000459619879341477,0.000372671567982002,"FGR/CFH/BTK/HFE/WAS/CD74/SPI1/PIK3C3/CD59/ICAM1/PYCARD/JAK3/NOD1/PPP3CB/PANX1/CD81/CD69/PTPN6/KLRB1/RTN4/LOXL3/IL1R1/VAMP8/NR4A3/TGFB3/C3/MASP1/IRF5/NECTIN2/IL13RA1/RARA/LGALS3/ANXA1/IRF4/GPR65/GALNT2/NFKBIZ/SERPING1/FCGR1A/IL18/CYRIB/VSIG4/KIT/CD1D/SLAMF8/SPON2/ZBTB7B/MAPKAPK2/FZD5/SYK/B2M/CD300A/IL7R/ITGAM/JUNB/RASGRP1/HMCES/ARID5A/CR1/HLA-DRA/DENND1B/TNF/LYN/TRIL",64
"GO:0018212","peptidyl-tyrosine modification","27/1607","123/18860",0.219512195121951,2.57622899813317,5.35250150193002,3.84231744207916e-06,0.000459619879341477,0.000372671567982002,"FGR/BTK/FLT4/TNK2/TSG101/FGFR1/HCK/JAK3/UNC119/PTPN6/PDGFRB/HES1/ARHGEF2/RAP2C/EPHA7/ABI2/PARP9/ERBB2/SFRP2/IL18/KIT/SYK/EFNA1/CSPG4/DDR1/LYN/SRCIN1",27
"GO:0007159","leukocyte cell-cell adhesion","66/1607","439/18860",0.150341685649203,1.76443322423395,4.94595511375327,3.98459617738094e-06,0.000459619879341477,0.000372671567982002,"ITGAL/HFE/IGF1/CD74/CD44/DLG1/CYLD/ICAM1/ABL1/PYCARD/EBI3/JAK3/DOCK8/VSIR/ST3GAL4/MDK/CD81/CD69/PTPN6/HES1/LOXL3/IGFBP2/NR4A3/HSPH1/TNFSF14/FCHO1/RARA/LGALS3/FLOT2/ANXA1/KLF4/GPR65/ERBB2/ITPKB/SOX13/ZC3H8/NFKBIZ/FERMT3/IL18/CCL28/CYRIB/VSIG4/CD1D/F11R/RUNX1/ZBTB7B/ITGA5/TGFBR2/SYK/B2M/CD300A/IL7R/PIK3CD/RASGRP1/RELA/HLA-DQB1/SEMA4D/HLA-DQA1/NRARP/CR1/HLA-DOA/HLA-DRA/HLA-DPA1/TNF/LYN/PECAM1",66
"GO:0010975","regulation of neuron projection development","67/1607","448/18860",0.149553571428571,1.75518379411503,4.93714796386695,4.04805896137662e-06,0.000459619879341477,0.000372671567982002,"ARHGAP33/PAFAH1B1/CDKL5/CDH1/XK/NEDD4L/CAMK2B/LZTS1/NGEF/PAK3/FGFR1/CHRNA3/ULK2/ITGA6/ABL1/NRP1/STX1B/NFATC4/STMN2/NCS1/DVL1/MDK/HES1/RTN4/EPHA4/SPP1/BCL11A/PACSIN1/RNF6/GFAP/SNAP25/ATP8A2/EPHA7/KLF4/TUBB2B/ITPKA/ZNF365/ABI2/SFRP2/YTHDF1/ROBO3/NPTN/BRAF/BRSK1/PRKCI/RET/B2M/EFNA1/MINAR1/ZNF804A/KNDC1/BRSK2/RGMA/ROBO2/CIB1/SEMA4D/RELN/STMN3/LPAR1/ARC/INPP5F/DDR1/TENM3/SHANK3/LYN/SRCIN1/NEFL",67
