"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","7/743","29/9376",0.241379310344828,3.04599248155196,3.23717431369636,0.00635573677396579,0.0258769282940036,0.0174424355075001,"7005/25937/8463/6788/26524/79633/7004",7
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","11/743","60/9376",0.183333333333333,2.31350381336922,2.99427302519829,0.00681052167873136,0.0274023342838367,0.0184706408376739,"5291/5743/5829/3315/5321/5605/25759/3845/9261/5600/5336",11
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","20/743","140/9376",0.142857142857143,1.80273024418381,2.80731312669275,0.0070134095912801,0.0276257078016216,0.0186212065514162,"3710/5332/182/5054/595/2784/59345/1958/113/6237/5605/10365/2791/5565/3845/5330/185/5331/2786/5581",20
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","13/743","77/9376",0.168831168831169,2.13049937948996,2.92211121891339,0.00702759233550024,0.0276257078016216,0.0186212065514162,"5291/4792/595/1647/7043/1026/6776/5605/25759/10912/3845/6464/5970",13
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","12/743","70/9376",0.171428571428571,2.16327629302057,2.86582421536461,0.00833578916365555,0.032395907886025,0.0218365768760833,"7133/7132/2182/4792/5599/4852/7186/5565/4794/5970/9021/51703",12
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","14/743","88/9376",0.159090909090909,2.00758595375015,2.7858742677282,0.00894106469476609,0.0343577991641573,0.0231589966665142,"3075/5054/7450/2152/3687/710/715/2151/3684/719/2/7056/716/629",14
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","15/743","98/9376",0.153061224489796,1.93149669019694,2.71935774209388,0.00989397217583393,0.0375970942681689,0.0253424550468729,"8913/483/3710/5332/113/3164/3949/5330/148327/185/5331/4929/5581/3777/8912",15
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","21/743","155/9376",0.135483870967742,1.70968610254852,2.61361920938594,0.0105620604402135,0.0396947765994838,0.0267564052794304,"8913/3776/3710/5332/51655/595/113/1031/3164/1017/1026/5605/3949/5330/148327/185/5331/7476/3777/8322/8912",21
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","15/743","99/9376",0.151515151515152,1.91198662261919,2.67609459944684,0.0108359213510324,0.0402813598049247,0.027151793774326,"5291/4313/182/5599/595/113/1031/1026/5605/25759/3845/6464/2353/5600/4855",15
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","19/743","138/9376",0.13768115942029,1.73741393098875,2.56012444700457,0.01238227949089,0.0455348342568214,0.0306929169044133,"8935/920/5606/5291/4775/2533/5829/4792/5599/6347/2185/5605/7186/3678/114548/3576/2353/5970/5600",19
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","20/743","148/9376",0.135135135135135,1.70528536611982,2.53712060384874,0.0127303901851955,0.0463169515248604,0.031220105829315,"5291/4791/182/595/3280/1647/1026/5605/25759/10912/3845/23493/2247/7476/8822/6464/4041/2353/8322/4855",20
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","20/743","149/9376",0.134228187919463,1.69384049789083,2.50450379183974,0.0136503792519066,0.048896509750962,0.0329588662217934,"4254/5291/5155/5332/5321/2185/113/6237/5605/25759/3845/5156/5330/185/5331/6464/6850/3576/57121/5336",20
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","8/743","41/9376",0.195121951219512,2.46226569937301,2.75270856797175,0.0137253360704455,0.048896509750962,0.0329588662217934,"4313/9252/595/1026/5605/3845/7057/3576",8
