"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","36/877","204/9376",0.176470588235294,1.88664565027836,4.11277232786328,0.0001334126658471,0.00119018141374124,0.000679998075231758,"3479/960/5291/816/2817/815/2260/5829/7078/858/595/5777/10000/5582/6608/9475/967/6194/51196/2064/5295/3708/673/7410/3678/7855/8323/5579/6774/5293/3265/2535/3059/8326/7124/3690",36
"Human Diseases","Cancer: specific types","hsa05214","Glioma","18/877","76/9376",0.236842105263158,2.53207705695253,4.30771984677254,0.000169657624440597,0.00145675520465203,0.000832302306026933,"3479/5291/816/815/595/5159/1647/10000/5582/5295/53358/814/673/6464/5579/5293/3265/801",18
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","22/877","103/9376",0.213592233009709,2.28351285826571,4.20736535539556,0.000172689507406524,0.00145675520465203,0.000832302306026933,"3459/5291/7132/5522/2771/10000/7043/718/2774/5295/9630/2776/5521/7048/107/2353/5293/5970/713/3725/23236/7124",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","35/877","199/9376",0.175879396984925,1.8803252293394,4.03200294959948,0.000176185732716027,0.00145675520465203,0.000832302306026933,"2554/10681/1103/2782/1136/43/140679/2557/6506/2566/2771/6869/60482/2891/113/5582/2774/8001/2561/150/2776/3362/107/2562/5579/5031/111/1139/2788/1129/23236/152/1133/2563/2904",35
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","26/877","133/9376",0.195488721804511,2.08996836446875,4.06663090927525,0.000213987146668853,0.00169254472174833,0.000967018254313595,"3479/5291/51701/6789/51422/595/1647/10000/7043/1017/1032/116986/92579/5295/9456/673/5563/7048/6774/3575/11337/5293/3265/2290/6517/100132074",26
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","28/877","148/9376",0.189189189189189,2.02262011155968,4.02803202389123,0.00022180038472859,0.00169254472174833,0.000967018254313595,"3479/2324/5291/4854/4791/2260/26281/1855/595/3280/1647/10000/23493/2064/5295/53358/3815/673/6464/7855/8323/2353/5293/3265/3725/2535/8326/388585",28
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","20/877","91/9376",0.21978021978022,2.34966857543824,4.15583597887975,0.000224633756412963,0.00169254472174833,0.000967018254313595,"695/5291/27071/29760/5532/975/5777/10000/5295/4794/7410/6850/5579/2353/5293/5970/3265/3725/5534/4067",20
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","21/877","98/9376",0.214285714285714,2.29092686105229,4.12656805192258,0.000229666835399479,0.00169254472174833,0.000967018254313595,"85477/7454/5291/55616/3055/8395/10000/7408/5582/57180/5295/2209/8853/7410/2215/6850/5579/5293/65108/2214/4067",21
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","21/877","98/9376",0.214285714285714,2.29092686105229,4.12656805192258,0.000229666835399479,0.00169254472174833,0.000967018254313595,"816/815/490/8911/113/3164/5582/3949/747/3708/814/2776/491/90993/107/5579/111/23236/5138/8912/801",21
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","19/877","86/9376",0.22093023255814,2.36196335286786,4.07575725995574,0.000297998275430053,0.00214939181639975,0.00122803320669944,"10368/4842/3655/1832/1824/1837/3679/8515/55799/4000/3678/783/488/785/6546/29119/3908/6262/3690",19
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","35/877","205/9376",0.170731707317073,1.825291320188,3.8377561967279,0.000318030651371494,0.00224609147531118,0.00128328157570954,"3683/695/960/5606/5291/4791/3383/29760/3718/595/3280/1647/10000/317/1017/8737/5295/4794/79685/6850/567/956/6774/5293/54205/5970/3725/3119/9636/3117/3111/3122/3113/7124/4067",35
