DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL
BD,Pacifico,2016,DS,ENSG00000005961,0.4900000000,0.0017500000
BD,Pacifico,2016,DS,ENSG00000226318,0.4500000000,0.0018200000
BD,Pacifico,2016,DS,ENSG00000260337,0.5000000000,0.0018200000
BD,Pacifico,2016,DS,ENSG00000188659,0.3900000000,0.0018400000
BD,Pacifico,2016,DS,ENSG00000115594,0.5200000000,0.0019200000
BD,Pacifico,2016,DS,ENSG00000107796,-0.5100000000,0.0019600000
BD,Pacifico,2016,DS,ENSG00000169684,0.5000000000,0.0019600000
BD,Pacifico,2016,DS,ENSG00000272356,0.3500000000,0.0019700000
BD,Pacifico,2016,DS,ENSG00000214922,0.4800000000,0.0020200000
BD,Pacifico,2016,DS,ENSG00000089169,-0.4800000000,0.0022000000
BD,Pacifico,2016,DS,ENSG00000112562,-0.4800000000,0.0022400000
BD,Pacifico,2016,DS,ENSG00000133321,0.4800000000,0.0023100000
BD,Pacifico,2016,DS,ENSG00000138640,0.3100000000,0.0022200000
BD,Pacifico,2016,DS,ENSG00000144791,0.3700000000,0.0022100000
BD,Pacifico,2016,DS,ENSG00000145779,0.5000000000,0.0021200000
BD,Pacifico,2016,DS,ENSG00000152952,0.3900000000,0.0021600000
BD,Pacifico,2016,DS,ENSG00000155962,0.4400000000,0.0022300000
BD,Pacifico,2016,DS,ENSG00000168405,0.4200000000,0.0022500000
BD,Pacifico,2016,DS,ENSG00000173848,-0.3700000000,0.0022300000
BD,Pacifico,2016,DS,ENSG00000178127,0.3700000000,0.0021600000
BD,Pacifico,2016,DS,ENSG00000180198,0.4500000000,0.0023300000
BD,Pacifico,2016,DS,ENSG00000196843,0.5000000000,0.0021600000
BD,Pacifico,2016,DS,ENSG00000226380,0.4200000000,0.0021400000
BD,Pacifico,2016,DS,ENSG00000249087,0.3500000000,0.0021500000
BD,Pacifico,2016,DS,ENSG00000257126,-0.4000000000,0.0022800000
BD,Pacifico,2016,DS,ENSG00000269967,0.4900000000,0.0023200000
BD,Pacifico,2016,DS,ENSG00000271743,-0.4400000000,0.0023100000
BD,Pacifico,2016,DS,ENSG00000272734,0.4900000000,0.0020800000
BD,Pacifico,2016,DS,ENSG00000276980,0.4900000000,0.0023100000
BD,Pacifico,2016,DS,ENSG00000124491,0.4900000000,0.0023700000
BD,Pacifico,2016,DS,ENSG00000272403,0.5000000000,0.0023600000
BD,Pacifico,2016,DS,ENSG00000072682,0.4900000000,0.0024100000
BD,Pacifico,2016,DS,ENSG00000102755,0.4200000000,0.0024000000
BD,Pacifico,2016,DS,ENSG00000231721,0.3000000000,0.0024900000
BD,Pacifico,2016,DS,ENSG00000233016,0.4100000000,0.0025100000
BD,Pacifico,2016,DS,ENSG00000140443,0.2900000000,0.0025600000
BD,Pacifico,2016,DS,ENSG00000076382,0.4400000000,0.0026200000
BD,Pacifico,2016,DS,ENSG00000105894,-0.3600000000,0.0026400000
BD,Pacifico,2016,DS,ENSG00000258667,0.4900000000,0.0026300000
BD,Pacifico,2016,DS,ENSG00000265750,0.5000000000,0.0026500000
BD,Pacifico,2016,DS,ENSG00000242125,0.3500000000,0.0026700000
BD,Pacifico,2016,DS,ENSG00000064932,0.4900000000,0.0027000000
BD,Pacifico,2016,DS,ENSG00000187554,0.4500000000,0.0027100000
BD,Pacifico,2016,DS,ENSG00000104892,0.4900000000,0.0028100000
BD,Pacifico,2016,DS,ENSG00000135048,0.3100000000,0.0027500000
BD,Pacifico,2016,DS,ENSG00000135722,0.5000000000,0.0027800000
BD,Pacifico,2016,DS,ENSG00000147166,0.5000000000,0.0027600000
BD,Pacifico,2016,DS,ENSG00000160307,-0.3800000000,0.0028400000
BD,Pacifico,2016,DS,ENSG00000196739,0.5000000000,0.0028500000
BD,Pacifico,2016,DS,ENSG00000231729,0.4700000000,0.0028300000
BD,Pacifico,2016,DS,ENSG00000251562,0.2700000000,0.0028500000
BD,Pacifico,2016,DS,ENSG00000068745,0.2800000000,0.0028800000
BD,Pacifico,2016,DS,ENSG00000147324,0.2700000000,0.0029400000
BD,Pacifico,2016,DS,ENSG00000166428,-0.4500000000,0.0029200000
BD,Pacifico,2016,DS,ENSG00000272993,0.4900000000,0.0029400000
BD,Pacifico,2016,DS,ENSG00000224081,0.4900000000,0.0030000000
BD,Pacifico,2016,DS,ENSG00000235750,0.4900000000,0.0029800000
BD,Pacifico,2016,DS,ENSG00000137094,-0.4400000000,0.0030200000
BD,Pacifico,2016,DS,ENSG00000100368,0.4800000000,0.0030700000
BD,Pacifico,2016,DS,ENSG00000253793,0.4900000000,0.0031100000
BD,Pacifico,2016,DS,ENSG00000158201,0.4300000000,0.0032600000
BD,Pacifico,2016,DS,ENSG00000240083,0.4400000000,0.0032500000
BD,Pacifico,2016,DS,ENSG00000228063,-0.4900000000,0.0033000000
BD,Pacifico,2016,DS,ENSG00000231294,0.4700000000,0.0033000000
BD,Pacifico,2016,DS,ENSG00000198039,0.3500000000,0.0033800000
BD,Pacifico,2016,DS,ENSG00000228521,0.4500000000,0.0033800000
BD,Pacifico,2016,DS,ENSG00000269951,0.4100000000,0.0033700000
BD,Pacifico,2016,DS,ENSG00000101825,-0.4800000000,0.0034200000
BD,Pacifico,2016,DS,ENSG00000111728,0.3000000000,0.0034400000
BD,Pacifico,2016,DS,ENSG00000260664,-0.3300000000,0.0034600000
BD,Pacifico,2016,DS,ENSG00000261269,0.4400000000,0.0034600000
BD,Pacifico,2016,DS,ENSG00000166927,0.4800000000,0.0035600000
BD,Pacifico,2016,DS,ENSG00000218823,0.4500000000,0.0035400000
BD,Pacifico,2016,DS,ENSG00000248184,-0.4900000000,0.0035500000
BD,Pacifico,2016,DS,ENSG00000006016,-0.4900000000,0.0036300000
BD,Pacifico,2016,DS,ENSG00000185022,0.4900000000,0.0036600000
BD,Pacifico,2016,DS,ENSG00000205056,0.4600000000,0.0036600000
BD,Pacifico,2016,DS,ENSG00000122884,0.4100000000,0.0037000000
BD,Pacifico,2016,DS,ENSG00000263648,0.4300000000,0.0037200000
BD,Pacifico,2016,DS,ENSG00000152256,0.3500000000,0.0038200000
BD,Pacifico,2016,DS,ENSG00000170365,0.2800000000,0.0038200000
BD,Pacifico,2016,DS,ENSG00000104081,0.4300000000,0.0039100000
BD,Pacifico,2016,DS,ENSG00000121060,0.2700000000,0.0038800000
BD,Pacifico,2016,DS,ENSG00000140678,-0.4400000000,0.0039400000
BD,Pacifico,2016,DS,ENSG00000155629,0.4700000000,0.0039700000
BD,Pacifico,2016,DS,ENSG00000182326,0.4400000000,0.0039500000
BD,Pacifico,2016,DS,ENSG00000182957,0.3000000000,0.0039700000
BD,Pacifico,2016,DS,ENSG00000196154,0.4700000000,0.0039300000
BD,Pacifico,2016,DS,ENSG00000196659,-0.3700000000,0.0039700000
BD,Pacifico,2016,DS,ENSG00000180113,0.4100000000,0.0040000000
BD,Pacifico,2016,DS,ENSG00000100985,0.4500000000,0.0040800000
BD,Pacifico,2016,DS,ENSG00000169385,0.4200000000,0.0040900000
BD,Pacifico,2016,DS,ENSG00000231160,-0.3400000000,0.0041100000
BD,Pacifico,2016,DS,ENSG00000254286,0.4600000000,0.0041000000
BD,Pacifico,2016,DS,ENSG00000255337,-0.4800000000,0.0041100000
BD,Pacifico,2016,DS,ENSG00000249006,0.4100000000,0.0041700000
BD,Pacifico,2016,DS,ENSG00000105697,0.4300000000,0.0042200000
BD,Pacifico,2016,DS,ENSG00000086730,0.4400000000,0.0042800000
BD,Pacifico,2016,DS,ENSG00000077238,0.4700000000,0.0043000000
BD,Pacifico,2016,DS,ENSG00000261208,0.4800000000,0.0043400000
BD,Pacifico,2016,DS,ENSG00000230951,0.4600000000,0.0043700000
BD,Pacifico,2016,DS,ENSG00000111404,-0.4700000000,0.0044500000
BD,Pacifico,2016,DS,ENSG00000197956,0.3300000000,0.0044500000
BD,Pacifico,2016,DS,ENSG00000272195,0.4600000000,0.0044500000
BD,Pacifico,2016,DS,ENSG00000278000,0.4800000000,0.0044200000
BD,Pacifico,2016,DS,ENSG00000164707,-0.4000000000,0.0044700000
BD,Pacifico,2016,DS,ENSG00000147174,0.4100000000,0.0045600000
BD,Pacifico,2016,DS,ENSG00000235095,-0.4100000000,0.0046000000
BD,Pacifico,2016,DS,ENSG00000258839,0.4600000000,0.0045500000
BD,Pacifico,2016,DS,ENSG00000259071,0.4600000000,0.0046000000
BD,Pacifico,2016,DS,ENSG00000271204,0.4100000000,0.0045200000
BD,Pacifico,2016,DS,ENSG00000274776,0.3100000000,0.0045700000
BD,Pacifico,2016,DS,ENSG00000164220,-0.4000000000,0.0046300000
BD,Pacifico,2016,DS,ENSG00000013364,0.3900000000,0.0047100000
BD,Pacifico,2016,DS,ENSG00000140379,0.4400000000,0.0047200000
BD,Pacifico,2016,DS,ENSG00000179331,0.4500000000,0.0047100000
BD,Pacifico,2016,DS,ENSG00000114529,-0.4500000000,0.0047600000
BD,Pacifico,2016,DS,ENSG00000167207,0.4700000000,0.0047800000
BD,Pacifico,2016,DS,ENSG00000260008,0.4500000000,0.0047600000
BD,Pacifico,2016,DS,ENSG00000196296,0.4700000000,0.0048500000
BD,Pacifico,2016,DS,ENSG00000108821,0.4600000000,0.0049400000
BD,Pacifico,2016,DS,ENSG00000114737,0.4600000000,0.0049000000
BD,Pacifico,2016,DS,ENSG00000178852,0.4600000000,0.0049000000
BD,Pacifico,2016,DS,ENSG00000242094,0.3900000000,0.0049500000
BD,Pacifico,2016,DS,ENSG00000262470,0.3300000000,0.0049200000
BD,Pacifico,2016,DS,ENSG00000259434,-0.4700000000,0.0049700000
BD,Pacifico,2016,DS,ENSG00000154589,0.4700000000,0.0050300000
BD,Pacifico,2016,DS,ENSG00000168610,0.2900000000,0.0050900000
BD,Pacifico,2016,DS,ENSG00000178295,-0.3800000000,0.0051100000
BD,Pacifico,2016,DS,ENSG00000188313,0.4200000000,0.0050600000
BD,Pacifico,2016,DS,ENSG00000204228,-0.4500000000,0.0051300000
BD,Pacifico,2016,DS,ENSG00000228393,0.4000000000,0.0051300000
BD,Pacifico,2016,DS,ENSG00000234432,0.4700000000,0.0051300000
BD,Pacifico,2016,DS,ENSG00000239280,0.4600000000,0.0050800000
BD,Pacifico,2016,DS,ENSG00000099937,0.4700000000,0.0051600000
BD,Pacifico,2016,DS,ENSG00000066926,-0.2100000000,0.0052600000
BD,Pacifico,2016,DS,ENSG00000109320,0.2100000000,0.0052300000
BD,Pacifico,2016,DS,ENSG00000263214,0.4600000000,0.0052600000
BD,Pacifico,2016,DS,ENSG00000123374,0.4400000000,0.0052900000
BD,Pacifico,2016,DS,ENSG00000264546,0.4700000000,0.0053200000
BD,Pacifico,2016,DS,ENSG00000103404,0.2600000000,0.0053500000
BD,Pacifico,2016,DS,ENSG00000255020,-0.4600000000,0.0054000000
BD,Pacifico,2016,DS,ENSG00000140525,0.3400000000,0.0054200000
BD,Pacifico,2016,DS,ENSG00000273759,0.4500000000,0.0054800000
BD,Pacifico,2016,DS,ENSG00000056736,0.4200000000,0.0056000000
BD,Pacifico,2016,DS,ENSG00000070190,0.4600000000,0.0055800000
BD,Pacifico,2016,DS,ENSG00000173281,0.3900000000,0.0056500000
BD,Pacifico,2016,DS,ENSG00000177119,0.3200000000,0.0055800000
BD,Pacifico,2016,DS,ENSG00000186940,-0.4600000000,0.0056600000
BD,Pacifico,2016,DS,ENSG00000197142,0.4400000000,0.0055700000
BD,Pacifico,2016,DS,ENSG00000198746,-0.3100000000,0.0056300000
BD,Pacifico,2016,DS,ENSG00000206337,0.4300000000,0.0055400000
BD,Pacifico,2016,DS,ENSG00000243988,0.4000000000,0.0055600000
BD,Pacifico,2016,DS,ENSG00000111817,0.3500000000,0.0057600000
BD,Pacifico,2016,DS,ENSG00000167985,0.2900000000,0.0057200000
BD,Pacifico,2016,DS,ENSG00000238098,0.3500000000,0.0057400000
BD,Pacifico,2016,DS,ENSG00000204520,0.3400000000,0.0057900000
BD,Pacifico,2016,DS,ENSG00000120738,-0.4200000000,0.0058600000
BD,Pacifico,2016,DS,ENSG00000259363,0.4600000000,0.0058500000
BD,Pacifico,2016,DS,ENSG00000176387,0.4500000000,0.0058800000
BD,Pacifico,2016,DS,ENSG00000206573,0.3900000000,0.0059700000
BD,Pacifico,2016,DS,ENSG00000065911,0.4600000000,0.0062900000
BD,Pacifico,2016,DS,ENSG00000091640,-0.2600000000,0.0063900000
BD,Pacifico,2016,DS,ENSG00000104327,-0.4500000000,0.0063200000
BD,Pacifico,2016,DS,ENSG00000114115,-0.3700000000,0.0061300000
BD,Pacifico,2016,DS,ENSG00000116652,0.3500000000,0.0064300000
BD,Pacifico,2016,DS,ENSG00000135476,0.4300000000,0.0062000000
BD,Pacifico,2016,DS,ENSG00000143546,0.4200000000,0.0061400000
BD,Pacifico,2016,DS,ENSG00000145623,0.4500000000,0.0064200000
BD,Pacifico,2016,DS,ENSG00000159403,0.4500000000,0.0062800000
BD,Pacifico,2016,DS,ENSG00000173559,0.4200000000,0.0061500000
BD,Pacifico,2016,DS,ENSG00000177374,0.4300000000,0.0062500000
BD,Pacifico,2016,DS,ENSG00000183876,-0.4500000000,0.0063400000
BD,Pacifico,2016,DS,ENSG00000186352,0.4300000000,0.0062900000
BD,Pacifico,2016,DS,ENSG00000188306,0.4600000000,0.0062100000
BD,Pacifico,2016,DS,ENSG00000189045,0.4000000000,0.0061800000
BD,Pacifico,2016,DS,ENSG00000205581,-0.2800000000,0.0062200000
BD,Pacifico,2016,DS,ENSG00000221926,0.3200000000,0.0063800000
BD,Pacifico,2016,DS,ENSG00000240859,-0.4300000000,0.0061900000
BD,Pacifico,2016,DS,ENSG00000254270,-0.3500000000,0.0064300000
BD,Pacifico,2016,DS,ENSG00000262732,0.4500000000,0.0062300000
BD,Pacifico,2016,DS,ENSG00000267919,0.4600000000,0.0062300000
BD,Pacifico,2016,DS,ENSG00000274290,-0.4300000000,0.0064200000
BD,Pacifico,2016,DS,ENSG00000269894,0.4300000000,0.0065300000
BD,Pacifico,2016,DS,ENSG00000118557,0.4100000000,0.0065600000
BD,Pacifico,2016,DS,ENSG00000090382,0.4500000000,0.0066000000
BD,Pacifico,2016,DS,ENSG00000111716,-0.1900000000,0.0066700000
BD,Pacifico,2016,DS,ENSG00000231125,0.4400000000,0.0066800000
BD,Pacifico,2016,DS,ENSG00000268225,0.3400000000,0.0066800000
BD,Pacifico,2016,DS,ENSG00000125462,-0.4100000000,0.0067100000
BD,Pacifico,2016,DS,ENSG00000230320,0.4500000000,0.0067300000
BD,Pacifico,2016,DS,ENSG00000173372,0.4500000000,0.0068200000
BD,Pacifico,2016,DS,ENSG00000166928,0.4500000000,0.0070000000
BD,Pacifico,2016,DS,ENSG00000169413,0.4500000000,0.0069400000
BD,Pacifico,2016,DS,ENSG00000180182,-0.2000000000,0.0069500000
BD,Pacifico,2016,DS,ENSG00000183760,0.4500000000,0.0069700000
BD,Pacifico,2016,DS,ENSG00000213626,-0.4300000000,0.0069600000
BD,Pacifico,2016,DS,ENSG00000243646,0.3000000000,0.0069600000
BD,Pacifico,2016,DS,ENSG00000270599,0.4400000000,0.0070100000
BD,Pacifico,2016,DS,ENSG00000077235,0.2300000000,0.0071000000
BD,Pacifico,2016,DS,ENSG00000100504,0.3900000000,0.0072700000
BD,Pacifico,2016,DS,ENSG00000105339,0.3800000000,0.0070800000
BD,Pacifico,2016,DS,ENSG00000112299,0.4200000000,0.0072700000
BD,Pacifico,2016,DS,ENSG00000116771,0.4400000000,0.0071800000
BD,Pacifico,2016,DS,ENSG00000185915,-0.4400000000,0.0072400000
BD,Pacifico,2016,DS,ENSG00000213971,0.3100000000,0.0071300000
BD,Pacifico,2016,DS,ENSG00000227782,0.4300000000,0.0070700000
BD,Pacifico,2016,DS,ENSG00000250634,0.4300000000,0.0071400000
BD,Pacifico,2016,DS,ENSG00000251467,0.4500000000,0.0072400000
BD,Pacifico,2016,DS,ENSG00000260711,0.4500000000,0.0072200000
BD,Pacifico,2016,DS,ENSG00000263606,0.4300000000,0.0071900000
BD,Pacifico,2016,DS,ENSG00000162998,-0.3800000000,0.0072900000
BD,Pacifico,2016,DS,ENSG00000044524,-0.3200000000,0.0073800000
BD,Pacifico,2016,DS,ENSG00000110172,0.4400000000,0.0073800000
BD,Pacifico,2016,DS,ENSG00000234215,-0.4200000000,0.0074000000
BD,Pacifico,2016,DS,ENSG00000123870,0.3600000000,0.0074200000
BD,Pacifico,2016,DS,ENSG00000115590,0.3900000000,0.0075200000
BD,Pacifico,2016,DS,ENSG00000182901,-0.3500000000,0.0074900000
BD,Pacifico,2016,DS,ENSG00000236107,0.4500000000,0.0075200000
BD,Pacifico,2016,DS,ENSG00000241537,-0.4400000000,0.0075200000
BD,Pacifico,2016,DS,ENSG00000010327,0.4300000000,0.0076500000
BD,Pacifico,2016,DS,ENSG00000105514,0.2500000000,0.0077600000
BD,Pacifico,2016,DS,ENSG00000113739,0.4300000000,0.0076100000
BD,Pacifico,2016,DS,ENSG00000132357,0.3800000000,0.0076800000
BD,Pacifico,2016,DS,ENSG00000137441,0.3700000000,0.0077500000
BD,Pacifico,2016,DS,ENSG00000165349,-0.4100000000,0.0077700000
BD,Pacifico,2016,DS,ENSG00000169908,0.4200000000,0.0078900000
BD,Pacifico,2016,DS,ENSG00000175766,0.4200000000,0.0079200000
BD,Pacifico,2016,DS,ENSG00000182308,0.4400000000,0.0078100000
BD,Pacifico,2016,DS,ENSG00000183853,0.3300000000,0.0078800000
BD,Pacifico,2016,DS,ENSG00000197140,0.3500000000,0.0078900000
BD,Pacifico,2016,DS,ENSG00000234988,0.4400000000,0.0077800000
BD,Pacifico,2016,DS,ENSG00000242686,0.4500000000,0.0077700000
BD,Pacifico,2016,DS,ENSG00000243710,-0.4000000000,0.0078900000
BD,Pacifico,2016,DS,ENSG00000273891,0.4000000000,0.0078200000
BD,Pacifico,2016,DS,ENSG00000274898,0.4300000000,0.0078100000
BD,Pacifico,2016,DS,ENSG00000205403,0.4400000000,0.0079500000
BD,Pacifico,2016,DS,ENSG00000065618,-0.4300000000,0.0081100000
