DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL,-LOGPVAL,,
AD,Wingo,2015,PBMC,ENSG00001735792,-0.1219154000,0.0057090000,2.2434399570,,
AD,Wingo,2015,PBMC,ENSG00001772731,-0.3929624000,0.0057640000,2.2392760279,,
AD,Wingo,2015,PBMC,ENSG00001679311,-0.1077575000,0.0058900000,2.2298847052,,
AD,Wingo,2015,PBMC,ENSG00000176092,0.1292312000,0.0058900000,2.2298847052,,
AD,Wingo,2015,PBMC,ENSG00001813625,0.1583627800,0.0060050000,2.2214869883,,
AD,Wingo,2015,PBMC,ENSG00002379520,-0.3830414000,0.0060400000,2.2189630614,,
AD,Wingo,2015,PBMC,ENSG00001735798,-0.1135620000,0.0060580000,2.2176707310,,
AD,Wingo,2015,PBMC,ENSG00001764573,0.4336221800,0.0061130000,2.2137456042,,
AD,Wingo,2015,PBMC,ENSG00001762002,0.1078026300,0.0061540000,2.2108425081,,
AD,Wingo,2015,PBMC,ENSG00000204941,-0.2842331000,0.0062620000,2.2032869367,,
AD,Wingo,2015,PBMC,ENSG00001744914,-0.1163628000,0.0063530000,2.1970211447,,
AD,Wingo,2015,PBMC,ENSG00002394161,0.1283947400,0.0064220000,2.1923296988,,
AD,Wingo,2015,PBMC,ENSG00001734542,-0.1319154000,0.0064310000,2.1917214904,,
AD,Wingo,2015,PBMC,ENSG00001749984,-0.3870583000,0.0064340000,2.1915189434,,
AD,Wingo,2015,PBMC,ENSG00001656420,0.1166391000,0.0064610000,2.1897002590,,
AD,Wingo,2015,PBMC,ENSG00002094396,0.1323985000,0.0065450000,2.1840903491,,
AD,Wingo,2015,PBMC,ENSG00000167994,-0.1391504000,0.0065710000,2.1823685328,,
AD,Wingo,2015,PBMC,ENSG00000180871,-0.1239305000,0.0066290000,2.1785519810,,
AD,Wingo,2015,PBMC,ENSG00001688231,0.2230864700,0.0066310000,2.1784209721,,
